№ п/п;Код ОВД;Год;Номер документа;Номер престу;Дата постановки в ИЦ;Текст решения;Дата решения;Фамилия сл-ля;Шифр докумен;Дата создания записи;Код принятого решения;Кто принял решение (код);Сообщение / Основание;Тип записи (Дисклеймер ИИ)
8288;37;2015;6737;1;29.12.2015;Возобн.приост.ст208ч.1п.2;16.02.2016;ПЛОТНИКАВА;3;26.02.2016;172;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8289;37;2015;7437;1;31.03.2016;Возр прокурором следов-лю;20.02.2016;ПЛОТНИКАВА;3;31.03.2016;173;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8290;37;2015;7437;1;31.03.2016;Возобн.приост.ст208ч.1п.2;13.01.2016;ПЛОТНИКАВА;3;31.03.2016;172;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8291;37;2015;7837;1;29.02.2016;Возр прокурором следов-лю;17.02.2016;ДРУКАВ;3;02.03.2016;173;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8292;37;2015;7837;1;19.04.2016;Возр прокурором следов-лю;17.02.2016;ХУНХЕНОВ;3;30.04.2016;173;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8293;37;2015;19890;1;22.06.2016;По инициативе прокур.п.1;26.05.2016;БАРАНАВА;3;29.06.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8294;37;2015;26250;1;25.02.2016;Возобн.приост.ст208ч.1п.2;24.02.2016;ЧУПРАВА;3;25.02.2016;172;25;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8295;37;2015;26250;1;25.02.2016;Возобн.приост.ст208ч.1п.2;25.02.2016;ЧУПРАВА;3;02.03.2016;172;25;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8296;37;2015;41550;1;25.02.2016;Возобн.приост.ст208ч.1п.2;24.02.2016;ЧУПРЕНА;3;25.02.2016;172;25;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8297;37;2015;41550;1;25.02.2016;Возобн.приост.ст208ч.1п.2;25.02.2016;ЧУПРЕНА;3;02.03.2016;172;25;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8298;37;2015;115337;1;31.07.2016;Возобн.приост.ст208ч.1п.1;19.07.2016;ГИЛИВ;3;01.08.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8299;37;2015;117637;1;22.06.2016;Возр прокурором следов-лю;25.01.2016;ДРУКАВ;3;27.06.2016;173;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8300;37;2015;120050;1;27.04.2016;Возобн.приост.ст208ч.1п.2;15.02.2016;СИМАНОВ;3;27.04.2016;172;25;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8301;37;2015;132037;1;26.07.2016;Возобн.приост.ст208ч.1п.1;19.07.2016;ШАТАЛАВА;3;27.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8302;37;2015;132037;1;26.07.2016;Возобн.приост.ст208ч.1п.1;19.07.2016;ШАТОЛОВ;3;27.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8303;37;2015;133537;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ЦЫДЕНЖОПОВА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8304;37;2015;138237;1;31.03.2016;По инициативе прокур.п.1;21.03.2016;КОМОГАРЦЕВА;3;01.04.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8305;37;2015;138237;1;20.01.2016;По инициативе прокур.п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8306;37;2015;140937;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8307;37;2015;141037;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8308;37;2015;143137;1;30.04.2016;Возобн.приост.ст208ч.1п.1;28.03.2016;СИТОЛО;3;01.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8309;37;2015;147275;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;КОНСТАНТЕНОВ;3;25.01.2016;174;85;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8310;37;2015;152537;1;19.04.2016;По инициативе прокур.п.1;14.03.2016;КОМОГАРЦЕВА;3;21.04.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8311;37;2015;157637;1;20.01.2016;Возобн.приост.ст208ч.1п.1;12.01.2016;СИТОЛО;3;20.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8312;37;2015;160737;1;25.01.2016;Возобн.приост.ст208ч.1п.2;22.01.2016;ЧУПРАКАВА;3;26.01.2016;172;3;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8313;37;2015;160937;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8314;37;2015;161337;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8315;37;2015;164437;1;26.07.2016;Возобн.приост.ст208ч.1п.1;19.07.2016;ШАТАЛАВА;3;27.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8316;37;2015;165137;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8317;37;2015;165537;1;26.07.2016;Возобн.приост.ст208ч.1п.1;19.07.2016;ШАТАЛАВА;3;27.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8318;37;2015;167237;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8319;37;2015;168437;1;20.01.2016;Возобн.приост.ст208ч.1п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8320;37;2015;171837;1;20.01.2016;Возобн.приост.ст208ч.1п.2;04.01.2016;БУШМАКЕНА;3;20.01.2016;172;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8321;37;2015;202837;1;20.01.2016;По инициативе прокур.п.1;16.01.2016;ДАШИИВА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8322;37;2015;202837;1;16.03.2016;По инициативе прокур.п.1;11.01.2016;ЦЫДЕНЖОПОВА;3;21.03.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8323;37;2015;205037;1;13.05.2016;Возобн.приост.ст208ч.1п.1;29.03.2016;ШАТАЛАВА;3;01.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8324;37;2015;205037;1;31.03.2016;Возр прокурором следов-лю;29.03.2016;ШАТАЛАВА;3;31.03.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8325;37;2015;206537;1;16.03.2016;Возобн.приост.ст208ч.1п.1;15.03.2016;СЫРЖИТАВА;3;21.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8326;37;2015;206537;1;16.03.2016;Возобн.приост.ст208ч.1п.1;15.03.2016;ШАРОЙ;3;16.03.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8327;37;2015;211537;1;11.05.2016;По инициативе прокур.п.1;19.04.2016;ГИЛИВ;3;16.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8328;37;2015;211537;1;22.01.2016;По инициативе прокур.п.1;20.01.2016;РЕЗНЕКОВ;3;22.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8329;37;2015;216537;1;18.02.2016;Возобн.приост.ст208ч.1п.2;03.02.2016;ДАШИИВА;3;18.02.2016;172;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8330;37;2015;218637;1;27.01.2016;Возобн.приост.ст208ч.1п.1;23.01.2016;МАГОМИДОВА;3;27.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8331;37;2015;221037;1;16.03.2016;По инициативе прокур.п.1;11.01.2016;ЦЫДЕНЖОПОВА;3;21.03.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8332;37;2015;221137;1;20.01.2016;Возоб из 208ч1п1 уст лицо;13.01.2016;БАРОНОВ;3;20.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8333;37;2015;222237;1;20.01.2016;Возр прокурором следов-лю;11.01.2016;ДУДЧОК;3;20.01.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8334;37;2015;225437;1;11.05.2016;По инициативе прокур.п.1;28.04.2016;КОМОГАРЦЕВА;3;23.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8335;37;2015;225437;1;23.06.2016;По инициативе прокур.п.1;23.06.2016;КОМОГАРЦЕВА;3;24.06.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8336;37;2015;225437;1;26.07.2016;По инициативе прокур.п.1;23.06.2016;ИЛЬЕНА;3;27.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8337;37;2015;225437;1;23.06.2016;По инициативе прокур.п.1;23.06.2016;ДРУКАВ;3;29.06.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8338;37;2015;225437;1;11.05.2016;Возобн.приост.ст208ч.1п.1;28.04.2016;КОМОГАРЦЕВА;3;17.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8339;37;2015;230837;1;25.02.2016;Возобн.приост.ст208ч.1п.1;18.02.2016;БАРОНОВ;3;25.02.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8340;37;2015;231737;1;12.05.2016;Возобн.приост.ст208ч.1п.1;05.04.2016;СЫРЖИТАВА;3;17.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8341;37;2015;234737;1;08.02.2016;Возобн.приост.ст208ч.1п.1;11.02.2016;БАРОНОВ;3;08.02.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8342;37;2015;234737;1;09.03.2016;Возобн.приост.ст208ч.1п.1;11.02.2016;БАТОЦЫРИНОВА;3;14.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8343;37;2015;245937;1;26.01.2016;Возобн.приост.ст208ч.1п.1;19.01.2016;ШИНКОРЕВ;3;26.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8344;37;2015;247437;1;23.03.2016;Возобн.приост.ст208ч.1п.1;29.02.2016;ИВАНАВА;3;24.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8345;37;2015;248037;1;09.03.2016;По инициативе прокур.п.1;20.02.2016;ДАШИИВА;3;14.03.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8346;37;2015;248437;1;20.05.2016;По инициативе прокур.п.1;16.05.2016;МАКОРОВ;3;27.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8347;37;2015;249037;1;16.05.2016;По инициативе прокур.п.1;11.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8348;37;2015;253337;1;26.01.2016;Возобн.приост.ст208ч.1п.1;19.01.2016;ШИНКОРЕВ;3;26.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8349;37;2015;254037;1;19.04.2016;По инициативе прокур.п.1;15.04.2016;ИЛЬЕНА;3;21.04.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8350;37;2015;254037;1;20.01.2016;По инициативе прокур.п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8351;37;2015;255837;1;29.01.2016;Возобн.приост.ст208ч.1п.1;28.01.2016;БАРОНОВ;3;29.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8352;37;2015;256637;1;20.01.2016;По инициативе прокур.п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8353;37;2015;258837;1;13.05.2016;Возр прокурором следов-лю;28.03.2016;ШАТАЛАВА;3;13.05.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8354;37;2015;258837;1;30.06.2016;Возр прокурором следов-лю;14.06.2016;ШАТАЛАВА;3;01.07.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8355;37;2015;258837;1;31.03.2016;Возр прокурором следов-лю;29.03.2016;ШАТАЛАВА;3;31.03.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8356;37;2015;259337;1;07.07.2016;Возобн.приост.ст208ч.1п.1;30.05.2016;ГИЛИВ;3;07.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8357;37;2015;260237;1;20.01.2016;По инициативе прокур.п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8358;37;2015;262637;1;20.01.2016;Возобн.приост.ст208ч.1п.1;22.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8359;37;2015;267037;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8360;37;2015;267237;1;16.05.2016;По инициативе прокур.п.1;11.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8361;37;2015;267737;1;09.03.2016;Возобн.приост.ст208ч.1п.1;02.02.2016;МАГОМИДОВА;3;14.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8362;37;2015;269137;1;30.04.2016;Возобн.приост.ст208ч.1п.1;29.03.2016;ШАТАЛАВА;3;01.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8363;37;2015;269137;1;31.03.2016;Возр прокурором следов-лю;29.03.2016;ШАТАЛАВА;3;31.03.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8364;37;2015;270737;1;16.05.2016;По инициативе прокур.п.1;11.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8365;37;2015;270837;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8366;37;2015;270937;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАРОНОВ;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8367;37;2015;271037;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8368;37;2015;271137;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8369;37;2015;271237;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАРОНОВ;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8370;37;2015;271437;1;16.05.2016;По инициативе прокур.п.1;11.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8371;37;2015;272737;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8372;37;2015;273437;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;ФРОЛАВ;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8373;37;2015;273637;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8374;37;2015;273837;1;20.02.2016;Возоб из 208ч1п1 уст лицо;16.02.2016;БАРОНОВ;3;20.02.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8375;37;2015;274137;1;09.03.2016;По инициативе прокур.п.1;24.02.2016;ЦЫДЕНЖОПОВА;3;24.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8376;37;2015;275637;1;30.04.2016;Возобн.приост.ст208ч.1п.1;10.01.2016;ФЕДОРАВА;3;30.04.2016;174;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8377;37;2015;275637;1;20.01.2016;Возобн.приост.ст208ч.1п.1;10.01.2016;БАТОЦЫРИНОВА;3;20.01.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8378;37;2015;276837;1;20.05.2016;По инициативе прокур.п.1;12.04.2016;ШАТАЛАВА;3;25.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8379;37;2015;276837;1;18.04.2016;Возобн.приост.ст208ч.1п.1;12.04.2016;ШАТАЛАВА;3;18.04.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8380;37;2015;277537;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8381;37;2015;277637;1;18.02.2016;Возр прокурором следов-лю;12.02.2016;СИТНИКАВА;3;18.02.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8382;37;2015;277637;1;18.02.2016;Возоб из 208ч1п4 уст лицо;12.02.2016;СИТНИКАВА;3;18.02.2016;173;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8383;37;2015;277937;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАРОНОВ;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8384;37;2015;278637;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАТОЦЫРИНОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8385;37;2015;278737;1;08.02.2016;Возобн.приост.ст208ч.1п.1;03.02.2016;БАТОЦЫРИНОВА;3;08.02.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8386;37;2015;278737;1;09.03.2016;По инициативе прокур.п.1;03.02.2016;БАТОЦЫРИНОВА;3;24.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8387;37;2015;279037;1;20.01.2016;По инициативе прокур.п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8388;37;2015;279237;1;17.05.2016;По инициативе прокур.п.1;11.01.2016;БАРОНОВ;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8389;37;2015;279737;1;19.04.2016;По инициативе прокур.п.1;15.04.2016;ИЛЬЕНА;3;21.04.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8390;37;2015;279737;1;20.01.2016;По инициативе прокур.п.1;11.01.2016;ИЛЬЕНА;3;20.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8391;37;2015;281137;1;20.05.2016;По инициативе прокур.п.1;09.03.2016;ЧЕРНИКАВА;3;23.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8392;37;2015;281137;1;16.03.2016;Возоб из 208ч1п1 уст лицо;09.03.2016;НАЛЬД;3;16.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8393;37;2015;281137;1;16.03.2016;По инициативе прокур.п.1;09.03.2016;НАЛЬД;3;20.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8394;37;2015;281137;1;16.03.2016;Возобн.приост.ст208ч.1п.1;09.03.2016;НАЛЬД;3;16.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8395;37;2015;282437;1;18.02.2016;Возобн.приост.ст208ч.1п.1;15.02.2016;БАРОНОВ;3;18.02.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8396;37;2015;283837;1;17.05.2016;По инициативе прокур.п.1;22.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8397;37;2015;284337;1;13.05.2016;Возобн.приост.ст208ч.1п.1;08.04.2016;БАТОЦЫРИНОВА;3;13.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8398;37;2015;284337;1;13.05.2016;По инициативе прокур.п.1;08.04.2016;БАТОЦЫРИНОВА;3;20.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8399;37;2015;284337;1;12.04.2016;Возобн.приост.ст208ч.1п.1;29.01.2016;БАТОЦЫРИНОВА;3;12.04.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8400;37;2015;284537;1;17.05.2016;По инициативе прокур.п.1;22.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8401;37;2015;285037;1;17.05.2016;По инициативе прокур.п.1;22.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8402;37;2015;285137;1;17.05.2016;По инициативе прокур.п.1;22.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8403;37;2015;285737;1;17.05.2016;По инициативе прокур.п.1;29.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8404;37;2015;285837;1;17.05.2016;По инициативе прокур.п.1;21.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8405;37;2015;286237;1;17.05.2016;По инициативе прокур.п.1;29.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8406;37;2015;288137;1;17.05.2016;По инициативе прокур.п.1;29.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8407;37;2015;288237;1;17.05.2016;По инициативе прокур.п.1;29.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8408;37;2015;289937;1;11.04.2016;Возоб из 208ч1п1 уст лицо;30.03.2016;СОЦКЕЙ;3;11.04.2016;174;42;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8409;37;2015;290737;1;17.05.2016;По инициативе прокур.п.1;25.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8410;37;2015;290937;1;17.05.2016;По инициативе прокур.п.1;25.01.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8411;37;2015;291737;1;26.01.2016;По инициативе прокур.п.1;22.01.2016;ЦЫДЕНЖОПОВА;3;26.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8412;37;2015;291737;1;17.05.2016;По инициативе прокур.п.1;29.02.2016;ЦЫДЕНЖОПОВА;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8413;37;2015;291837;1;16.05.2016;По инициативе прокур.п.1;02.02.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8414;37;2015;291937;1;16.05.2016;По инициативе прокур.п.1;02.02.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8415;37;2015;292037;1;16.05.2016;По инициативе прокур.п.1;02.02.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8416;37;2015;292637;1;25.02.2016;По инициативе прокур.п.1;20.01.2016;ДАШИИВА;3;24.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8417;37;2015;292637;1;22.01.2016;Возобн.приост.ст208ч.1п.1;20.01.2016;КОМОГАРЦЕВА;3;22.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8418;37;2015;295837;1;16.05.2016;По инициативе прокур.п.1;04.04.2016;ФРОЛАВ;3;23.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8419;37;2015;295837;1;26.01.2016;По инициативе прокур.п.1;22.01.2016;ЦЫДЕНЖОПОВА;3;26.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8420;37;2015;295837;1;09.03.2016;По инициативе прокур.п.1;03.03.2016;ЦЫДЕНЖОПОВА;3;14.03.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8421;37;2015;296137;1;22.01.2016;По инициативе прокур.п.1;20.01.2016;ЦЫДЕНЖОПОВА;3;24.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8422;37;2015;296137;1;22.01.2016;Возобн.приост.ст208ч.1п.1;20.01.2016;КОМОГАРЦЕВА;3;22.01.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8423;37;2015;297037;1;17.05.2016;По инициативе прокур.п.1;15.02.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8424;37;2015;297937;1;17.05.2016;По инициативе прокур.п.1;15.02.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8425;37;2015;299737;1;17.05.2016;По инициативе прокур.п.1;16.02.2016;ФРОЛАВ;3;18.05.2016;174;43;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8426;37;2015;300037;1;20.05.2016;Возоб из 208ч1п1 уст лицо;09.03.2016;ЧЕРНИКАВА;3;23.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8427;37;2015;300037;1;16.03.2016;Возоб из 208ч1п1 уст лицо;09.03.2016;ГОРБАВ;3;16.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8428;37;2015;300037;1;16.03.2016;Возобн.приост.ст208ч.1п.1;09.03.2016;ГОРБАВ;3;16.03.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
8429;37;2015;300137;1;22.03.2016;По инициативе прокур.п.1;17.02.2016;КОМОГАРЦЕВА;3;24.05.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
